Datum,Venue,Event_Name,Event_Typ,Bezirk,Kuenstler:innen,Veranstalter,Verein,Foerderung_ref,Quelle,Programm
2022-01-14,Alte Schmiede,"Areal, Filip, Malfatti",Konzert,1,Gabriela Areal | Klaus Filip | Radu Malfatti,Alte Schmiede,KUNSTVEREIN WIEN,MA7,https://klingt.org/gro.tgnilk/events/12683/index.html?sid=14298401013344652,
2022-01-15,echoraum,Anna Koch: BASSticcio,Konzert,15,Anna Koch | Petra Stump | Hunter Long | Bruno Liberda | Ken Thomson,echoraum,echoraum Vereinigung zur Förderung der Kulturkommunikation,MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12661/index.html?sid=14298401013344652,echoraum
2022-01-18,echoraum,Vernissage Anat Stainberg: An everlasting performance,Vernissage,15,Vinicius Cajado | Anna Anderluh | Stephanie Cumming | Artu Palmio | Andreas Joska | Daniel Biegger,echoraum,echoraum Vereinigung zur Förderung der Kulturkommunikation,MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12665/index.html?sid=14298401013344652,echoraum
2022-01-19,Ateliertheater,derbloededrittemittwoch#114,Konzert | Performance | Konzertreihe,7,Elise Mori | Sara Zlanabitnig | Charlotta Ruth | Singer Zangerle | Matze,klingt.org,Verein für Kunstvermischung,MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12640/index.html?sid=14298401013344652,Der Blöde Dritte Mittwoch
2022-01-19,Bezirksmuseum Leopoldstadt,Weiping Lin Solo,Konzert,2,Weiping Lin,Apostroph IGNM,IGNM – Internationale Gesellschaft für Neue Musik Österreich,MA7 | BMKöS | SKE | AKM | Bezirkskultur Leopoldstadt (2. Bezirk),https://klingt.org/gro.tgnilk/events/12674/index.html?sid=14298401013344652,
2022-01-20,IM SPITZER,22 Jahre loewenhertz labelnights,Konzertreihe,2,ensemblehertz | Thomas Berghammer | LSZ | Hannes Löschel | Paul Skrepek | Martin Zrost | BZSS | Oliver Steger | Fellowsoph,Loewenhertz,[nicht dokumentiert],MA7 | SKE,https://klingt.org/gro.tgnilk/events/12688/index.html?sid=14298401013344652,
2022-01-21,AIL Angewandte,(live stream) SOUNDS OF THE LIVING: Angelica Castello / Christian Schröder,Konzert | Performance | Konzertreihe,1,Angelica Castello | Christian Schröder,Angewandte Innovation Lab,Universität für angewandte Kunst Wien,Universität für angewandte Kunst Wien (BMBWF),https://klingt.org/gro.tgnilk/events/12556/index.html?sid=14298401013344652,
2022-01-21,IM SPITZER,22 Jahre loewenhertz labelnights,Konzertreihe,2,Elisabeth Flunger | Schall und Schein | Josef Novotny | Tonhammer | Burkhard Stangl,Loewenhertz,[nicht dokumentiert],MA7 | SKE,https://klingt.org/gro.tgnilk/events/12688/index.html?sid=14298401013344652,
2022-01-22,IM SPITZER,22 Jahre loewenhertz labelnights,Konzertreihe,2,Sylvie Lacroix | Alexander Stankovski | Wolfgang Vinzenz Wizlsperger | Martina Zinner | Paul Skrepek | Hannes Löschel | Franz Hautzinger | Attensam Quartett | Annette Bik | Gunde Jäch | Ingrid Eder | Michael Öttl,Loewenhertz,[nicht dokumentiert],MA7 | SKE,https://klingt.org/gro.tgnilk/events/12688/index.html?sid=14298401013344652,
2022-01-25,Westbahnstudios,20h studio session #0,Konzert,7,Theresa Dinkhauser | Damaris Richerts | Daniel Riegler | Raphael Meinhart | Sophia Goidinger-Koch | Veronika Mayer | Werner Angerer,Studio Dan | Westbahnstudios,echoraum Vereinigung zur Förderung der Kulturkommunikation,MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12687/index.html?sid=14298401013344652,20h studio session
