Verein,ZVR-Zahl,Bezirk,Foerderung_ref,Typ,Jahr,Betrag_EUR,Quelle,Fördergegenstand — Anmerkungen,Programm,Kurzname,Verein_key
"""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel: Ventil",462456728,18,MA7,Beschluss,2023,8000,Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023,ausbezahlt: Einzelförderungen (Projekte) Musik,Konzertveranstaltungen 2. Halbjahr 2023,Ventil Records,"""ventil"" - verein zur freisetzung klanglicher innovation und dynamik kurztitel: ventil"
"""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel: Ventil",462456728,18,BMKöS_BMWKmS,Beschluss,2023,6000,Kunst- und Kulturbericht des Bundes 2023,ausbezahlt: Musikförderung Jahresprogramme,,Ventil Records,"""ventil"" - verein zur freisetzung klanglicher innovation und dynamik kurztitel: ventil"
"""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel: Ventil",462456728,18,MA7,Beschluss,2024,8000,Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024,ausbezahlt: Einzelnförderungen (Projekte) Musik,EARDRUMS,Ventil Records,"""ventil"" - verein zur freisetzung klanglicher innovation und dynamik kurztitel: ventil"
"""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel: Ventil",462456728,18,BMKöS_BMWKmS,Beschluss,2024,4000,Kunst- und Kulturbericht des Bundes 2024,ausbezahlt: Musikförderung Jahresprogramme,,Ventil Records,"""ventil"" - verein zur freisetzung klanglicher innovation und dynamik kurztitel: ventil"
"""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel: Ventil",462456728,18,MA7,Beschluss,2025,13000,Transparenzportal IFG 2025,"ausbezahlt: Förderung von Einzelvorhaben und Jahrestätigkeiten im Bereich der Musik
",,Ventil Records,"""ventil"" - verein zur freisetzung klanglicher innovation und dynamik kurztitel: ventil"
"""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel:Ventil",462456728,18,MA7,Beschluss,2022,8000,Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022,ausbezahlt: Einzelnförderungen (Projekte) Musik,Konzertveranstaltungen 2. Halbjahr 2022.,Ventil Records,"""ventil"" - verein zur freisetzung klanglicher innovation und dynamik kurztitel: ventil"
"""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel:Ventil",462456728,18,BMKöS_BMWKmS,Beschluss,2025,8000,Transparenzportal IFG 2025,"ausbezahlt: Musik Förderung von Vereinen, vergleichbaren Einrichtungen und Einzelpersonen ",,Ventil Records,"""ventil"" - verein zur freisetzung klanglicher innovation und dynamik kurztitel: ventil"
"""Vienna.ACTS"", Verein zur Förderung von Kunst",130944845,7,MA7,Beschluss,2022,22000,Kunst- und Kulturbericht des Bundes 2022,ausbezahlt: Einzelnförderungen (Projekte) Stadtteilkultur und Interkulturalität,Salam Orient 2022,,"""vienna.acts"", verein zur förderung von kunst"
"""Vienna.ACTS"", Verein zur Förderung von Kunst",130944845,7,MA7,Beschluss,2023,32000,Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023,ausbezahlt: Einzelnförderungen (Projekte) Kulturinitiativen,Salam Orient,,"""vienna.acts"", verein zur förderung von kunst"
"""Vienna.ACTS"", Verein zur Förderung von Kunst",130944845,7,BMKöS_BMWKmS,Beschluss,2023,28000,Kunst- und Kulturbericht des Bundes 2023,ausbezahlt: Kunst- und Kulturprojekte Kulturinitiativen — Ausnahme,,,"""vienna.acts"", verein zur förderung von kunst"
