Verein	ZVR-Zahl	Bezirk	Foerderung_ref	Typ	Jahr	Betrag_EUR	Quelle	Fördergegenstand — Anmerkungen	Programm	Kurzname	Verein_key
UNSAFE SOUNDS - Verein zur Verteidigung künstlerischer Grauzonen	1670187874	18	MA7	Beschluss	2022	50000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Festivals Musik	Unsafe+Sounds Festival	Unsafe+Sounds	unsafe sounds - verein zur verteidigung künstlerischer grauzonen
UNSAFE SOUNDS - Verein zur Verteidigung künstlerischer Grauzonen	1670187874	18	MA7	Beschluss	2022	5000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Einzelnförderungen (Projekte) Wissenschaft, Museen — Ausnahme	Unsafe+Sounds Festival: DISKURSPROGRAMM – „Politics of the dancefloor?“	Unsafe+Sounds	unsafe sounds - verein zur verteidigung künstlerischer grauzonen
STRUMA+IODINE - Verein zur Erweiterung musikalischer Erfahrungsräume	1954454117	9	MA7	Beschluss	2022	26000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Einzelnförderungen (Projekte) Musik	Struma+Iodine	Struma+Iodine	struma+iodine - verein zur erweiterung musikalischer erfahrungsräume
echoraum Vereinigung zur Förderung der Kulturkommunikation	884318065	15	MA7	Beschluss	2022	90000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Gesamtförderung Jahrestätigkeit		echoraum	echoraum vereinigung zur förderung der kulturkommunikation
Studio Dan - Verein für Neue Musik	408034688	20	MA7	Beschluss	2022	50000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Gesamtförderung Salon skug		Studio Dan	studio dan - verein für neue musik
id/l Agentur für Kunst und Kultur	214732532	18	MA7	Beschluss	2022	30000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Einzelnförderungen (Projekte) Stadtteilkultur und Interkulturalität	Sonic Territories	id/l	id/l agentur für kunst und kultur
id/l Agentur für Kunst und Kultur	214732532	18	MA7	Beschluss	2024	5000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Einzelnförderungen (Projekte) Kulturinitiativen	Sonic Territories	id/l	id/l agentur für kunst und kultur
Floating Sound Gallery Vienna, Verein zur Förderung von Kunst und Kultur	1534373870	20	MA7	Beschluss	2022	3000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Einzelnförderungen (Projekte) Stadtteilkultur und Interkulturalität	Circuit Fantôme	Floating Sound Gallery Vienna	floating sound gallery vienna, verein zur förderung von kunst und kultur
Setzkasten, Verein und Werkstatt zur Förderung intermedialer Kunst	314108954	17	MA7	Beschluss	2022	22000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Einzelnförderungen (Projekte) Stadtteilkultur und Interkulturalität	"Veranstaltungsreihe | versatzstuecke. edition: TTTOXic Paradise
"	Setzkasten Wien	setzkasten, verein und werkstatt zur förderung intermedialer kunst
small forms - Verein zur Förderung und Verbreitung von zeitgenössischen Musikformen	503262449	16	MA7	Beschluss	2022	15000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Einzelnförderungen (Projekte) Musik	smallforms sessions	Smallforms	small forms - verein zur förderung und verbreitung von zeitgenössischen musikformen
Kulturverein Free Music Forum mit dem Zusatz Forum für free Jazz & freie Improvisation	1121875739	5	MA7	Beschluss	2022	15000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Einzelnförderungen (Projekte) Musik	Konzertreihe Free Music Forum	Free Music Forum	kulturverein free music forum mit dem zusatz forum für free jazz & freie improvisation
TONSPUR Kunstverein Wien	824358800	7	MA7	Beschluss	2022	12000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Gesamtförderung (Jahrestätigkeit) Bildende Kunst und Medienkunst		TONSPUR	tonspur kunstverein wien
TONSPUR Kunstverein Wien	824358800	7	MA7	Beschluss	2022	9500.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Gesamtförderung Musik		TONSPUR	tonspur kunstverein wien
Verein für experimentelle improvisierte Musik (VEIM)	420413087	4	MA7	Beschluss	2022	10000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Einzelnförderungen (Projekte) Musik	Monday Improvisers Session.	VEIM	verein für experimentelle improvisierte musik (veim)
MOOZAK - VEREIN FÜR EXPERIMENTELLE MUSIK	817982407	19	MA7	Beschluss	2022	23000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Einzelnförderungen (Projekte) Musik | Festivals Musik	Jahresendzeitschokoladenhohlkörper  | Multichannel Series – Konzertzyklus 2024	Moozak	moozak - verein für experimentelle musik
SUENA - Verein zur Förderung und Verbreitung neuer Musik	1920809871	20	MA7	Beschluss	2022	6000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Festivals Musik	Suena Festival für zeitgenössische hispanische Musik	SUENA	suena - verein zur förderung und verbreitung neuer musik
Jazz & Musicclub Porgy & Bess	79072322	4	MA7	Beschluss	2022	140000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Gesamtförderung Musik		Porgy & Bess	jazz & musicclub porgy & bess
Verein für Kunstvermischung	448124582	17	MA7	Beschluss	2022	20000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Einzelnförderungen (Projekte) Musik	Der Blöde Dritte Mittwoch		verein für kunstvermischung
Wien Modern, Verein für neue Musik	678661440	3	MA7	Beschluss	2022	1000000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Festivals Musik — Mehrjährige Gesamtförderung 2021-2023		Wien Modern	wien modern, verein für neue musik
FAM Kulturverein	1490968765	Klagenfurt	MA7	Beschluss	2022	3000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Film, Kino – Einzelnförderungen (Projekte)	NAWA music & film festival 2022		fam kulturverein
FAM Kulturverein	1490968765	Klagenfurt	MA7	Beschluss	2022	8000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Einzelnförderungen (Projekte) Stadtteilkultur und Interkulturalität	nawa music & film Festival		fam kulturverein
FAM Kulturverein	1490968765	Klagenfurt	MA7	Beschluss	2024	30000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Einzelnförderungen (Projekte) Kulturinitiativen	NAWA FESTIVAL – music and film festival		fam kulturverein
Klangmanifeste - Verein für Klang-/Kunst-/Formen	771245267	5	MA7	Beschluss	2022	4800.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Festivals Musik	Klangmanifeste		klangmanifeste - verein für klang-/kunst-/formen
"""Vienna.ACTS"", Verein zur Förderung von Kunst"	130944845	7	MA7	Beschluss	2022	22000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Einzelnförderungen (Projekte) Stadtteilkultur und Interkulturalität	Salam Orient 2022		"""vienna.acts"", verein zur förderung von kunst"
TONSPUR Kunstverein Wien	824358800	7	MA7	Beschluss	2023	13000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Gesamtförderungen (Jahrestätigkeit) Musik		TONSPUR	tonspur kunstverein wien
