Verein	Jahr	Betrag_EUR	Förderung_Bezirk	Projekttitel	Status	Quelle
Kunstverein KLANGWERK	2022	1900	1	Lanner bis Strauss, Glückliche NoMaden	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Kunstverein KLANGWERK	2022	700	2	„Die Klangkarawane am Ilgplatz“	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Kunstverein KLANGWERK	2022	1500	3	„KlangnoMaden am Rochusmarkt“	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Kunstverein KLANGWERK	2022	1500	4	Konzert „Mozart bis Schikaneder“	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Kunstverein KLANGWERK	2022	1600	5	NoMaden im Speck im Hundsturmpark	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Kunstverein KLANGWERK	2022	1000	7	Die Farbe der Töne	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Kunstverein KLANGWERK	2022	4800	8	Musikalische Momente in der Josefstadt 2022	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Kunstverein KLANGWERK	2022	2000	9	Lauschklang 2022	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Kunstverein KLANGWERK	2022	1500	10	NoMaden im Gleichschritt	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Kunstverein KLANGWERK	2022	2200	12	Tönende NoMaden	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Kunstverein KLANGWERK	2022	800	16	NoMaden der Vielfalt, Die Klangkarawane am Yppenplatz	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
