Verein	ZVR-Zahl	Bezirk	Foerderung_ref	Typ	Jahr	Betrag_EUR	Quelle	Anmerkungen
Floating Sound Gallery Vienna, Verein zur Förderung von Kunst und Kultur	1534373870	18	MA7	Empfehlung	2025	9000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2024)	Empfehlung. keine Förderzusage. Vereinstätigkeiten 2024
The Acousmatic Project - Verein zur Förderung Akusmatischer Musik	874404447	2	MA7	Empfehlung	2025	15000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2024)	Empfehlung. keine Förderzusage. Made Up Realities
MOOZAK - VEREIN FÜR EXPERIMENTELLE MUSIK	817982407	19	MA7	Empfehlung	2025	5000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2024)	Empfehlung. keine Förderzusage. HYPERREALITY Festival
Verein für experimentelle improvisierte Musik (VEIM)	[nicht dokumentiert]	4	MA7	Empfehlung	2025	15000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2024)	Empfehlung. keine Förderzusage. Ton-netz-werk
Verein für elektroakustische Musik;  Kurztitel VELAK	229137709	5	MA7	Empfehlung	2025	6000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2024)	Empfehlung. keine Förderzusage. velak gala/export
On the Couch - zur Förderung von Kunst und Kultur in der Gesellschaft	1742094788	3	MA7	Empfehlung	2025	7000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2024)	Empfehlung. Studiokonzerte 2025
PARKEN, Verein zur Förderung experimenteller Musik im öffentlichem Raum	[nicht dokumentiert]	[nicht dokumentiert]	MA7	Empfehlung	2025	12000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2024)	Empfehlung
ExMachinisMusicae: Verein zur Förderung von transdisziplinärer, transkultureller\nund transmedialer Kunst	1961147729	13	MA7	Empfehlung	2025	1500	Förderempfehlung Musikbeirat MA7 (Einreichtermin März 2025)	Empfehlung. Projekt: Delphi
"""Vienna.ACTS"", Verein zur Förderung von Kunst"	130944845	7	MA7	Empfehlung	2025	10000	Förderempfehlung Musikbeirat MA7 (Einreichtermin März 2025)	Empfehlung. Projekt: DE/SEMBLE - Festival for Jazz and Adventurous Music
AUGEND&ADDEND - Verein zur Förderung und Erweiterung transformativer\nKlangräume und queerer Clubkultur	1799027468	16	MA7	Empfehlung	2025	7000	Förderempfehlung Musikbeirat MA7 (Einreichtermin März 2025)	Empfehlung. Projekt: Assembled Affinity 2
liccht - kulturverein für nischenmusik und populärkultur	1472352125	3	MA7	Empfehlung	2025	13000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2024)	Empfehlung. keine Förderzusage
Verein für Kunstvermischung	448124582	17	MA7	Empfehlung	2025	26000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2024)	Empfehlung. Der blöde dritte Mittwoch 2025
SUENA - Verein zur Förderung und Verbreitung neuer Musik	1920809871	6	MA7	Empfehlung	2025	10000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2024)	Empfehlung. keine Förderzusage
small forms - Verein zur Förderung und Verbreitung von zeitgenössischen Musikformen	503262449	16	MA7	Empfehlung	2025	15000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2024)	Empfehlung. keine Förderzusage. Festival MUSIK NACH DER NATUR
Kulturverein Free Music Forum mit dem Zusatz Forum für free Jazz & freie Improvisation	1121875739	5	MA7	Empfehlung	2025	20000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2024)	Empfehlung. keine Förderzusage. Veranstaltungsreihe liccht
Peer to Peer - Verein zur Förderung und Verbreitung experimenteller Musik, interdisziplinärer Kunstformate und Diskurs	1254357283	20	MA7	Empfehlung	2025	55000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2024)	Empfehlung. keine Förderzusage. Projekt: UNSAFE SOUNDS Festival. Mehrjahresförderung 2024-2025
RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE	1525847130	9	MA7	Empfehlung	2025	30000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2024)	Empfehlung. keine Förderzusage. Umbenennung von STRUMA+IODINE per Januar 2024. Mehrjahresförderung 2024-2025
AUGEND&ADDEND - Verein zur Förderung und Erweiterung transformativer\nKlangräume und queerer Clubkultur	1799027468	16	MA7	Empfehlung	2025	9500	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2024)	Empfehlung. Projekt: Assembled Affinity
RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE	1525847130	9	MA7	Empfehlung	2026	27500	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2025)	Empfehlung. keine Förderzusage. Mehrjahresförderung 2024-2025
The Acousmatic Project - Verein zur Förderung Akusmatischer Musik	874404447	2	MA7	Empfehlung	2026	10000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2025)	Empfehlung.  keine Förderzusage. Kanal 41.3
Floating Sound Gallery Vienna, Verein zur Förderung von Kunst und Kultur	1534373870	18	MA7	Empfehlung	2026	8000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2025)	Empfehlung. keine Förderzusage. Klangmanifeste
Verein für elektroakustische Musik;  Kurztitel VELAK	229137709	5	MA7	Empfehlung	2026	5000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2025)	Empfehlung. keine Förderzusage. Bezirksbudget 5. Konzertreihe
Verein für experimentelle improvisierte Musik (VEIM)	[nicht dokumentiert]	4	MA7	Empfehlung	2026	15000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2025)	Empfehlung. keine Förderzusage. Unsafe+Sounds Festival
MOOZAK - VEREIN FÜR EXPERIMENTELLE MUSIK	817982407	19	MA7	Empfehlung	2026	5000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2025)	Empfehlung. keine Förderzusage. Gesamtförderung
small forms - Verein zur Förderung und Verbreitung von zeitgenössischen Musikformen	503262449	16	MA7	Empfehlung	2026	15000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2025)	Empfehlung. keine Förderzusage. PARKEN
Kulturverein Free Music Forum mit dem Zusatz Forum für free Jazz & freie Improvisation	1121875739	5	MA7	Empfehlung	2026	15000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2025)	Empfehlung. keine Förderzusage. Jahresprogramm
Peer to Peer - Verein zur Förderung und Verbreitung experimenteller Musik, interdisziplinärer Kunstformate und Diskurs	1254357283	20	MA7	Empfehlung	2026	50000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2025)	Empfehlung. keine Förderzusage. Projekt: UNSAFE SOUNDS Festival. Mehrjahresförderung 2024-2025
SUENA - Verein zur Förderung und Verbreitung neuer Musik	1920809871	6	MA7	Empfehlung	2026	10000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2025)	Empfehlung. keine Förderzusage
liccht - kulturverein für nischenmusik und populärkultur	1472352125	3	MA7	Empfehlung	2026	12000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2025)	Empfehlung. keine Förderzusage
Verein für Kunstvermischung	448124582	17	MA7	Empfehlung	2026	25000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2025)	Empfehlung. Der Blöde Dritte Mittwoch
XOK - Interessensgemeinschaft der experimentellen Musik- und Klangkunstszene\nWiens	1792507501	19	MA7	Empfehlung	2026	12000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2025)	Empfehlung. Jahresfrühzeitschokoladenhohlkörper
PARKEN, Verein zur Förderung experimenteller Musik im öffentlichem Raum	[nicht dokumentiert]	[nicht dokumentiert]	MA7	Empfehlung	2026	6000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2025)	Empfehlung
On the Couch - zur Förderung von Kunst und Kultur in der Gesellschaft	1742094788	3	MA7	Empfehlung	2026	7000	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2025)	Empfehlung. Studiokonzerte 2026
Alexander Eberhard	[Einzelperson]	3	MA7	Empfehlung	2025	3500	Förderempfehlung Musikbeirat MA7 (Einreichtermin März 2025)	Projekt: Radiophonic memories
SHIZZLE - Kunst- und Kulturverein	818583997	17	MA7	Empfehlung	2025	20000	Musikbeirat Förderempfehlung Einreichtermin 30.09.2025	ausbezahlt: SHIZZLE JAHRESPROGRAMM / FESTIVAL HER NOISE x SOLAR PLACE x SUNSHINE HILLS. Einzelförderung/Gesamtförderung. Stand 06.11.2025
