Datum , Venue , Event_Name , Event_Typ , Bezirk ,Kuenstler:innen, Veranstalter , Foerderung_ref , Quelle,,,,,,
2022.01.10,WUK,The Dead Class - A Musical (!) by Wanunu & Siewert,Musical,9,Toxic Dreams,WUK Performing Arts,,https://klingt.org/gro.tgnilk/events/12651/index.html?sid=14298401013344652,,,,,,
2022.01.11,WUK,The Dead Class - A Musical (!) by Wanunu & Siewert,Musical,9,Toxic Dreams,WUK Performing Arts,,https://klingt.org/gro.tgnilk/events/12651/index.html?sid=14298401013344652,,,,,,
2022.01.12,WUK,The Dead Class - A Musical (!) by Wanunu & Siewert,Musical,9,Toxic Dreams,WUK Performing Arts,,https://klingt.org/gro.tgnilk/events/12651/index.html?sid=14298401013344652,,,,,,
2022.01.13,WUK,The Dead Class - A Musical (!) by Wanunu & Siewert,Musical,9,Toxic Dreams,WUK Performing Arts,,https://klingt.org/gro.tgnilk/events/12651/index.html?sid=14298401013344652,,,,,,
2022.01.14,WUK,The Dead Class - A Musical (!) by Wanunu & Siewert,Musical,9,Toxic Dreams,WUK Performing Arts,,https://klingt.org/gro.tgnilk/events/12651/index.html?sid=14298401013344652,,,,,,
2022.01.14,Alte Schmiede,"Areal, Filip, Malfatti",Konzert,1,"Gabriela Areal | Klaus Filip |
Radu Malfatti",Alte Schmiede,,https://klingt.org/gro.tgnilk/events/12683/index.html?sid=14298401013344652,,,,,,
2022.01.15,echoraum,Anna Koch: BASSticcio,Konzert,15,Anna Koch | Petra Stump | Hunter Long | Bruno Liberda | Ken Thomson,echoraum,,https://klingt.org/gro.tgnilk/events/12661/index.html?sid=14298401013344652,,,,,,
2022.01.15,WUK,The Dead Class - A Musical (!) by Wanunu & Siewert,Musical,9,Toxic Dreams,WUK Performing Arts,,https://klingt.org/gro.tgnilk/events/12651/index.html?sid=14298401013344652,,,,,,
2022-01-16,WUK,The Dead Class - A Musical (!) by Wanunu & Siewert,Musical,9,Toxic Dreams,WUK Performing Arts,,https://klingt.org/gro.tgnilk/events/12651/index.html?sid=14298401013344652,,,,,,
18.01.22,echoraum,Vernissage Anat Stainberg: An everlasting performance,Vernissage,15,Vinicius Cajado | Anna Anderluh | Stephanie Cumming | Artu Palmio | Andreas Joska | Daniel Biegger,echoraum,,https://klingt.org/gro.tgnilk/events/12665/index.html?sid=14298401013344652,,,,,,
2022-01-19,Ateliertheater,derbloededrittemittwoch#114,Konzert/Performance | Konzertreihe,7,Elise Mori | Sara Zlanabitnig | Charlotta Ruth | Singer Zangerle | Matze,klingt.org,,https://klingt.org/gro.tgnilk/events/12640/index.html?sid=14298401013344652,,,,,,
2022-01-19,Bezirksmuseum Leopoldstadt,Weiping Lin Solo ,Konzert,2,Weiping Lin,Apostroph IGNM,,https://klingt.org/gro.tgnilk/events/12674/index.html?sid=14298401013344652,,,,,,
2022-01-20,Odeon Theater,22 Jahre loewenhertz labelnights,Konzertreihe,2,ensemblehertz | Thomas Berghammer | LSZ | Hannes Löschel | Paul Skrepek | Martin Zrost | BZSS | Oliver Steger | Fellowsoph,Loewenhertz,,https://klingt.org/gro.tgnilk/events/12688/index.html?sid=14298401013344652,,,,,,
2022-01-21,AIL,(live stream) SOUNDS OF THE LIVING: Angelica Castello / Christian Schröder,Konzert/Performance | Konzertreihe,1,Angelica Castello | Christian Schröder ,Angewandte Innovation Lab,,https://klingt.org/gro.tgnilk/events/12556/index.html?sid=14298401013344652,,,,,,
2022-01-21,Odeon Theater (Im Spitzer),22 Jahre loewenhertz labelnights,Konzertreihe,2,Elisabeth Flunger | Schall und Schein | Josef Novotny | Tonhammer | Burkhard Stangl,Loewenhertz,,https://klingt.org/gro.tgnilk/events/12688/index.html?sid=14298401013344652,,,,,,
2022-01-22,Odeon Theater,22 Jahre loewenhertz labelnights,Konzertreihe,2,Sylvie Lacroix | Alexander Stankovski | Wolfgang Vinzenz Wizlsperger | Martina Zinner | Paul Skrepek | Hannes Löschel | Franz Hautzinger | Attensam Quartett | Annette Bik | Gunde Jäch | Ingrid Eder | Michael Öttl,Loewenhertz,,https://klingt.org/gro.tgnilk/events/12688/index.html?sid=14298401013344652,,,,,,
2022-01-25,Westbahnstudios,20h studio session #0,Konzert,7,Theresa Dinkhauser | Damaris Richerts | Daniel Riegler | Raphael Meinhart | Sophia Goidinger-Koch | Veronika Mayer | Werner Angerer,Studio Dan | Westbahnstudios,,https://klingt.org/gro.tgnilk/events/12687/index.html?sid=14298401013344652,,,,,,
2022-01-26,Echoraum,XX Y X: Rdeca Raketa + Patrick K-H,Konzert,15,Rdeca Raketa | Patrick K-H,RDEČA RAKETA | Echoraum,,https://klingt.org/gro.tgnilk/events/12667/index.html?sid=14298401013344652,,,,,,
2022-01-28,Echoraum,Fluctuations & Josef Ka,Konzert,15,Michael Fischer | Franciszek Araszkiewicz | Josef Ka,echoraum,,https://klingt.org/gro.tgnilk/events/12668/index.html?sid=14298401013344652,,,,,,
2022-01-28,Anitta-Müller-Cohen-Platz,Burkhard Stangl / solo,Performance/Outdoor,2, Burkhard Stangl | Benoît Maubrey,Burkhard Stangl,,https://klingt.org/gro.tgnilk/events/12692/index.html?sid=14298401013344652,,,,,,
2022-01-28,Studio Eberhard,On the Couch #66 - Berndt Thurner,Konzert,3,SteaBerndt Thurner | Stewart Saunders Smith,KulturvereinOn the Couch – zur Förderung von Kunst und Kultur in der Gesellschaft.,,https://klingt.org/gro.tgnilk/locations/2533/index.html?sid=14298401013344652,,,,,,
2022-01-30,Echoraeume,Plateau Partagee #2: lost & found,Konzertreihe,17,Ebrahim Amini | Helal Kashefi | Luc Gut | Philipp Ramspeck | Martin Fritz | Alexander Iwanov | Jana Kilbertus | Charlotte Le May | Johnny Mhanna | Martina Stapf | Verena Schneider,Freifall ONLINE ,,https://klingt.org/gro.tgnilk/events/12698/index.html?sid=14298401013344652,,,,,,
2022-01-31,Echoraeume,Plateau Partagee #2: lost & found,Konzertreihe,17,Ebrahim Amini | Helal Kashefi | Luc Gut | Philipp Ramspeck | Martin Fritz | Alexander Iwanov | Jana Kilbertus | Charlotte Le May | Johnny Mhanna | Martina Stapf | Verena Schneider,Freifall ONLINE ,,https://klingt.org/gro.tgnilk/events/12699/index.html?sid=14298401013344652,,,,,,
2022-02-02,Echoraeume,Räume für Notizen // nach Ulysses,Konzert,17,keine Info,Echoraume,,https://klingt.org/gro.tgnilk/events/12638/index.html?sid=14298401013344652,,,,,,
2022-02-02,Echoraum,Finissage Anat Stainberg: An everlasting performance,Finissage/Performance,15,Anat Stainberg,echoraum,,https://klingt.org/gro.tgnilk/events/12670/index.html?sid=14298401013344652,,,,,,
2022-02-02,Studio Eberhard,On the Couch #67 - Trio Affogato,Konzert,3,Trio Affogato,Studio Eberhard,,https://klingt.org/gro.tgnilk/events/12708/index.html?sid=14298401013344652,,,,,,
