datum;event_name;venue
when;who;where
2022-01-10;The Dead Class - A Musical (!) by Wanunu &...;wuk
2022-01-11;SOUNDHUND: Hans Koch, Dieb13, Emaille Camille;postremise
2022-01-11;The Dead Class - A Musical (!) by Wanunu &...;wuk
2022-01-12;The Dead Class - A Musical (!) by Wanunu &...;wuk
2022-01-13;The Dead Class - A Musical (!) by Wanunu &...;wuk
2022-01-13;duo e&m - Poaschegg/Strobl;künstlerhaus klagenfurt
2022-01-14;The Dead Class - A Musical (!) by Wanunu &...;wuk
2022-01-14;Areal, Filip, Malfatti;alte schmiede
2022-01-15;The Dead Class - A Musical (!) by Wanunu &...;wuk
2022-01-15;Anna Koch: BASSticcio;echoraum
2022-01-16;The Dead Class - A Musical (!) by Wanunu &...;wuk
2022-01-18;Vernissage Anat Stainberg: An everlasting ...;echoraum
2022-01-19;19h30 derbloededrittemittwoch#114;ateliertheater
2022-01-19;Weiping Lin Solo;bezirksmuseum leopoldstadt
2022-01-20;22 Jahre loewenhertz labelnights;im spitzer
2022-01-20;ZELL-ARZBERG. EIN EXZESS (Premiere);klagenfurter ensemble theater
2022-01-21;(live stream) SOUNDS OF THE LIVING: Angeli...;otto wagner kassenhalle
2022-01-21;punctum collective: All that matters;echoraum
2022-01-21;22 Jahre loewenhertz labelnights;im spitzer
2022-01-22;22 Jahre loewenhertz labelnights;im spitzer
2022-01-25;20h studio session #0;westbahnstudios
2022-01-25;ÜBER PIRATINNEN;dschungel - theaterhaus fue...
2022-01-26;XX Y X: Rdeča Raketa + Patrick K-H;echoraum
2022-01-27;ÜBER PIRATINNEN;dschungel - theaterhaus fue...
2022-01-28;Baltimore Symphony Orchestra  / Benedetti;joseph meyerhoff symphony hall
2022-01-28;Fluctuations & Josef Ka;echoraum
2022-01-28;burkhard stangl / solo;anitta-müller-cohen-platz
2022-01-28;ÜBER PIRATINNEN;dschungel - theaterhaus fue...
2022-01-28;on the couch #66 - Berndt Thurner;studio eberhard
2022-01-29;Baltimore Symphony Orchestra  / Benedetti;joseph meyerhoff symphony hall
2022-01-30;Baltimore Symphony Orchestra  / Benedetti;joseph meyerhoff symphony hall
2022-01-30;19h Plateau Partagee #2: Lost & Found;echoraeume
2022-01-31;20h Plateau Partagee #2: Lost & Found;echoraeume
2022-02-02;räume für notizen // nach ulysses;echoraeume
2022-02-02;Finissage Anat Stainberg: An everlasting p...;echoraum
2022-02-02;on the couch #67 - Trio Affogato;studio eberhard
2022-02-02;Anthropods;porgy&bess
2022-02-03;schnee at Ear We Are 2022 biel;alte juragarage
2022-02-03;[broadcast] zeitton - noche de los muertos...;radio oe1
2022-02-03;Anthropods;b-flat
2022-02-04;räume für notizen // nach ulysses;echoraeume
2022-02-04;duo e&m - Polaschegg / Strobl;künstlerhaus klagenfurt
2022-02-04;Anthropods;tonne dresden
2022-02-05;Die Vitaminlüge /  Radio Hörspiel;radio oe1
2022-02-10;[broadcast] zeitton - noche de los muertos...;radio oe1
2022-02-11;[hammer im staub] berkson/bruckmayr/fuchs/...;alte schmiede
2022-02-11;volta_sesiones VOLTA // VERNACULAR;vernacular institute
2022-02-15;angelica castello & meryll ampe;instants chavires
2022-02-16;castello solo / wind diaries;auditorium du gmea
2022-02-17;castello solo / wind diaries;le vent des signes
2022-02-17;So Sner;artists
2022-02-18;So Sner;alter bauhof
2022-02-19;So Sner;punctum
2022-02-20;Radio Essay / Natascha Gangl / SWR2;worldwide
2022-02-23;So Sner;porgy&bess
2022-02-24;REMIXES 1 (Christina Ciupke and Boris Hauf...;tanzfabrik berlin
2022-02-24;Chuchchepati Orchestra;palace
2022-02-25;REMIXES 2 (Christina Ciupke and Boris Hauf...;tanzfabrik berlin
2022-02-26;REMIXES 1 (Christina Ciupke and Boris Hauf...;tanzfabrik berlin
2022-02-27;REMIXES 2 (Christina Ciupke and Boris Hauf...;tanzfabrik berlin
2022-02-28;Grazer Impro Klub Feat. Seijiro Murayama;forum stadtpark
2022-03-01;20h Studio Session #1;westbahnstudios
2022-03-03;Hofmeister, Herbst, Holub & Gäste;wakuum
2022-03-03;»for poets & writers« (...east of the mo...;porgy&bess
2022-03-03;Susanna Gartmayer Solo Bassklarinette;kulturgarage bei okro
2022-03-04;»for poets & writers« (...east of the mo...;porgy&bess
2022-03-04;KMET solo CAFE WOLF;cafe wolf
2022-03-05;KMET solo;dakig
2022-03-06;»for poets & writers« (...east of the mo...;porgy&bess
2022-03-07;gletscherzungen;helsinki
2022-03-09;zimt / CD presentation;alte schmiede
2022-03-10;Konrad Kraft & So Sner;ancienne belgique club
2022-03-10;t-100, radio art zone count down;konschthal
2022-03-10;Auf der Welle von Frau Stöhr. Fiktives H�...;alte schmiede
2022-03-11;Der Reif der Nebellungen;echoraum
2022-03-11;zimt at artacts;art acts
2022-03-11;ujif_notfound / Alla Zagaykevych;fal-klangtheater
2022-03-12;reif der nebellungen;echoraeume
2022-03-13;zimt / CD presentation;exploratorium
2022-03-13;[radio] Die Politiker;swr
2022-03-13;Alexander J. Eberhard/ Rafal Zalech;strenge kammer / porgy & bess
2022-03-14;monday improvisers session;celeste
2022-03-16;10 jahre bloeder 3. mittwoch;replugged
2022-03-16;[screening] do they speak color ?;fifa festival
2022-03-16;"""Da war ich nicht mehr da"" v.L.Plöchl, Mu...";theater am werk / petersplatz
2022-03-17;Taktlos Festival;walcheturm
2022-03-17;dieb13 & joke lanz;km28
2022-03-17;KMET solo at Kultursalon LOK;lok(leben ohne krankenhaus)
2022-03-18;The Vegetable Orchestra;museum für kommunikation bern
2022-03-18;"""Da war ich nicht mehr da"" v.L.Plöchl, Mu...";theater am werk / petersplatz
2022-03-18;Kastenkonzert #37;setzkasten wien
2022-03-18;inawhirl;ausland
2022-03-19;dieb13 & joke lanz;divadlo 29
2022-03-21;monday improvisers session;celeste
2022-03-22;Martin Siewert: Moving images and static s...;stadtkino im künstlerhaus
2022-03-24;Quehenberger - Kern / Uz Jsme Doma / Fil OK;replugged
2022-03-25;charhizma presents: KONK PACK;porgy&bess
2022-03-25;Ingrid Schmoliner, Bernhard Breuer und Eli...;echoraum
2022-03-26;Mrm Trio  (Džukljev / Herbst / Gladović)...;cirkulacija 2 interdiscipli...
2022-03-26;[screening] toutes directions @ under the ...;blickle kino/21er haus
2022-03-27;Duo Claussen / Klement;st. ruprecht (neue musik in)
2022-03-27;Mrm Trio  (Džukljev / Herbst / Gladović)...;artists
2022-03-27;KNH-Sonntagskind23: Alex Miksch + Band;echoraeume fs2
2022-03-27;Martin Siewert / Maja Osojnik at STREAMERS...;tonspur festival / anitta-m...
2022-03-28;Klara Lewis, Fru Fru (Maja Osojnik & Angé...;rhiz
2022-03-28;monday improvisers session;celeste
2022-03-28;GOD IS A BAND  Music: KMET;dschungel - theaterhaus fue...
2022-03-31;20h Studio Session #2;westbahnstudios
2022-03-31;[screening] one corner of paradise;k3 filmfestival
2022-04-01;FÄNGE · simulacrumbs modulated;echoraum
2022-04-04;Styrian Improvisers Orchestra Feat. Steve ...;stockwerk
2022-04-04;monday improvisers session;celeste
2022-04-06;Kern / Holub / Fischerlehner;strenge kammer / porgy & bess
2022-04-06;[screening] do they speak color ?;diagonale
2022-04-07;fmf presents: M. Thieke & H. Göregen / DJ...;celeste
2022-04-08;DISHES;rote bar im volkstheater
2022-04-08;[screening] do they speak color ?;diagonale
2022-04-08;muscle tomcat machine;ppc
2022-04-08;NYX / Strata;suddenlylisten / the music ...
2022-04-09;NYX agnel/castello/duthoit;e27 musiques nouvelles
2022-04-09;nass zell flux;diverse badezimmer
2022-04-10;bertoncini/lehn & wolfgang mitterer;tonspur festival / anitta-m...
2022-04-11;Trio NYX;spectart
2022-04-11;monday improvisers session;celeste
2022-04-12;NYX (agnel/duhtoit/castello)/ GGRIL  (Gran...;la sala rossa
2022-04-13;Cauliflower Sound Festival;akademie der bildenden kün...
2022-04-14;Cauliflower Sound Festival;akademie der bildenden kün...
2022-04-15;Cauliflower Sound Festival;akademie der bildenden kün...
2022-04-15;schnelle antwort;tankkeller
2022-04-16;opening: Klang, Bild und Prozess;kuenstlerhaus
2022-04-17;bulbul + baits;container 25
2022-04-17;Female Subversion Is Here to Stay: Deren |...;filmmuseum
2022-04-18;monday improvisers session;celeste
2022-04-20;18h!! DerBloedeDritteMittwoch#117 @ ROTOR;kuenstlerhaus
2022-04-21;free music forum: Jasna Jovićević & An...;celeste
2022-04-22;on the couch #66 - Eberhard/Gross/Owczarek;studio eberhard
2022-04-23;KNH-Shorts 8: Astrid Rothaug;echoraeume fs2
2022-04-24;Antonietta Loffredo - Toy Piano;st. ruprecht (neue musik in)
2022-04-24;KNH-Sonntagskind24: Gruber;echoraeume fs2
2022-04-24;[screening] one corner of paradise;dokumentarfilmwoche
2022-04-25;monday improvisers session;celeste
2022-04-25;KNH-Darkroom9 // 9pm;echoraeume fs2
2022-04-26;KNH-Stories5;echoraeume fs2
2022-04-29;kaleidofon;jazzatelier
2022-04-29;Tiziana Bertoncini, Jakob Gnigler, Soizic ...;alte schmiede
2022-04-30;kaleidofon;jazzatelier
2022-04-30;stefan geissler trio;flucc
2022-04-30;20:20h salongarnison7: Judith Unterpertinger;echoraum
2022-04-30;JSB Trio;sargfabrik
2022-05-01;kaleidofon;jazzatelier
2022-05-01;AiR - Artists in Residence | Duo Ar;st. ruprecht (neue musik in)
2022-05-01;Castelló / Stangl / Fennesz / Kutin@ tonspur;tonspur festival / anitta-m...
2022-05-02;[screening] THE;indielisboa
2022-05-02;monday improvisers session;celeste
2022-05-03;XX Y X: soundsongnoisesilence;echoraum
