datum;event_name;venue
2022-01-10;The Dead Class - A Musical (!) by Wanunu &...;wuk
2022-01-11;The Dead Class - A Musical (!) by Wanunu &...;wuk
2022-01-12;The Dead Class - A Musical (!) by Wanunu &...;wuk
2022-01-13;The Dead Class - A Musical (!) by Wanunu &...;wuk
2022-01-14;The Dead Class - A Musical (!) by Wanunu &...;wuk
2022-01-14;Areal, Filip, Malfatti;alte schmiede
2022-01-15;The Dead Class - A Musical (!) by Wanunu &...;wuk
2022-01-15;Anna Koch: BASSticcio;echoraum
2022-01-16;The Dead Class - A Musical (!) by Wanunu &...;wuk
2022-01-18;Vernissage Anat Stainberg: An everlasting ...;echoraum
2022-01-19;19h30 derbloededrittemittwoch#114;ateliertheater
2022-01-19;Weiping Lin Solo;bezirksmuseum leopoldstadt
2022-01-21;punctum collective: All that matters;echoraum
2022-01-25;20h studio session #0;westbahnstudios
2022-01-26;XX Y X: Rdeča Raketa + Patrick K-H;echoraum
2022-01-28;Fluctuations & Josef Ka;echoraum
2022-01-28;on the couch #66 - Berndt Thurner;studio eberhard
2022-01-30;19h Plateau Partagee #2: Lost & Found;echoraeume
2022-01-31;20h Plateau Partagee #2: Lost & Found;echoraeume
2022-02-02;räume für notizen // nach ulysses;echoraeume
2022-02-02;Finissage Anat Stainberg: An everlasting p...;echoraum
2022-02-02;on the couch #67 - Trio Affogato;studio eberhard
2022-02-03;[broadcast] zeitton - noche de los muertos...;radio oe1
2022-02-04;räume für notizen // nach ulysses;echoraeume
2022-02-05;Die Vitaminlüge /  Radio Hörspiel;radio oe1
2022-02-10;[broadcast] zeitton - noche de los muertos...;radio oe1
2022-02-11;[hammer im staub] berkson/bruckmayr/fuchs/...;alte schmiede
2022-03-01;20h Studio Session #1;westbahnstudios
2022-03-09;zimt / CD presentation;alte schmiede
2022-03-10;Auf der Welle von Frau Stöhr. Fiktives H�...;alte schmiede
2022-03-11;Der Reif der Nebellungen;echoraum
2022-03-12;reif der nebellungen;echoraeume
2022-03-14;monday improvisers session;celeste
2022-03-16;10 jahre bloeder 3. mittwoch;replugged
2022-03-16;"""Da war ich nicht mehr da"" v.L.Plöchl, Mu...";theater am werk / petersplatz
2022-03-18;"""Da war ich nicht mehr da"" v.L.Plöchl, Mu...";theater am werk / petersplatz
2022-03-21;monday improvisers session;celeste
2022-03-24;Quehenberger - Kern / Uz Jsme Doma / Fil OK;replugged
2022-03-25;Ingrid Schmoliner, Bernhard Breuer und Eli...;echoraum
2022-03-27;Duo Claussen / Klement;st. ruprecht (neue musik in)
2022-03-27;KNH-Sonntagskind23: Alex Miksch + Band;echoraeume fs2
2022-03-28;Klara Lewis, Fru Fru (Maja Osojnik & Angé...;rhiz
2022-03-28;monday improvisers session;celeste
2022-03-31;20h Studio Session #2;westbahnstudios
2022-04-01;FÄNGE · simulacrumbs modulated;echoraum
2022-04-04;monday improvisers session;celeste
2022-04-07;fmf presents: M. Thieke & H. Göregen / DJ...;celeste
2022-04-11;monday improvisers session;celeste
2022-04-18;monday improvisers session;celeste
2022-04-21;free music forum: Jasna Jovićević & An...;celeste
2022-04-22;on the couch #66 - Eberhard/Gross/Owczarek;studio eberhard
2022-04-23;KNH-Shorts 8: Astrid Rothaug;echoraeume fs2
2022-04-24;Antonietta Loffredo - Toy Piano;st. ruprecht (neue musik in)
2022-04-24;KNH-Sonntagskind24: Gruber;echoraeume fs2
2022-04-25;monday improvisers session;celeste
2022-04-25;KNH-Darkroom9 // 9pm;echoraeume fs2
2022-04-26;KNH-Stories5;echoraeume fs2
2022-04-29;Tiziana Bertoncini, Jakob Gnigler, Soizic ...;alte schmiede
2022-04-30;stefan geissler trio;flucc
2022-04-30;20:20h salongarnison7: Judith Unterpertinger;echoraum
2022-04-30;JSB Trio;sargfabrik
2022-05-01;AiR - Artists in Residence | Duo Ar;st. ruprecht (neue musik in)
2022-05-02;monday improvisers session;celeste
2022-05-03;XX Y X: soundsongnoisesilence;echoraum
2022-05-05;free music forum: obdo - Frédéric Blondy...;celeste
2022-05-06;Katharina Klement, solo - Spiegel (2021) K...;salon garnison
2022-05-09;monday improvisers session;celeste
2022-05-10;SUENA FESTIVAL;instituto cervantes
2022-05-11;SUENA FESTIVAL;instituto cervantes
2022-05-12;Rhys Chatham with David Fenech, Martin Sie...;replugged
2022-05-12;SUENA FESTIVAL;instituto cervantes
2022-05-13;VELAK Gala #119;ateliertheater
2022-05-13;das kleine symposion 2022 - stoff - 1;echoraum
2022-05-13;on the couch #68 - Eberhard & Zalech;studio eberhard
2022-05-14;das kleine symposion 2022 - stoff - 2;echoraum
2022-05-16;monday improvisers session;celeste
2022-05-17;Ka Baird;rhiz
2022-05-17;Flamingo · Antonia Sophia Manhartsberger;echoraum
2022-05-18;19h!! DerBloedeDritteMittwoch#118;ateliertheater
2022-05-18;Fingerstyle guitar: Gwenifer Raymond (UK) ...;celeste
2022-05-19;free music forum: Harnik & Gasser & Trilla;celeste
2022-05-19;Xenakis 2022: Back to the Roots;klangtheater
2022-05-19;20h Ingrid Schmoliner, solo - MNEEM (2021)...;salon garnison
2022-05-20;DDK-Trio;echoraum
2022-05-20;Xenakis 2022: Back to the Roots;klangtheater
2022-05-20;on the couch #69 - Rina Kaçinari/Jörg Mi...;studio eberhard
2022-05-21;22jahre.klingt.org;flucc
2022-05-21;das kleine symposion 2022 - stoff - 3;echoraum
2022-05-21;Xenakis 2022: Back to the Roots;klangtheater
2022-05-22;Stump-Linshalm - contemplari;st. ruprecht (neue musik in)
2022-05-23;lyrik im mai;echoraeume
2022-05-23;monday improvisers session;celeste
2022-05-26;noism matters;echoraum
2022-05-28;20.00 Studio Session #3;westbahnstudios
2022-05-29;KNH-Sonntagskind25: Sigrid Horn, Clemens S...;echoraeume fs2
2022-05-30;monday improvisers session;celeste
2022-05-30;moozak multichannel series #01 / elak conc...;klangtheater
2022-06-01;synklavia / tuning voices;alte schmiede
2022-06-02;Modulometer;echoraum
2022-06-03;Nachhall#2: Musik und ihre Instrumente in ...;echoraum
2022-06-06;monday improvisers session;celeste
2022-06-09;free music forum: Mariá Portugal & Angeli...;celeste
2022-06-10;poème électronique#38;echoraum
2022-06-10;on the couch #70 - Wolfgang Mitterer/Alexa...;studio eberhard
2022-06-10;LISA SPALT / SABINE MARTE / OLIVER STOTZ;alte schmiede
2022-06-11;Duo Hofmaninger/Schwarz;echoraum
2022-06-11;VELAK Gala #120;klangtheater
2022-06-12;Wolfgang Seierl & Claudia Pettrich - d´ u...;st. ruprecht (neue musik in)
2022-06-13;monday improvisers session;celeste
2022-06-15;18h30!! DerBloedeDritteMittwoch#119;ateliertheater
2022-06-15;poème électronique#39;echoraum
2022-06-15;Pneuma 'Intangible' Album Release;westbahnstudios
2022-06-17;schnitzel '21, live: greta christensen & d...;echoraum
2022-06-18;KNH-Shorts9;echoraeume fs2
2022-06-18;KINKY MUPPET @ VEKKS;vekks
2022-06-19;KNH-Sonntagskind26: Bondi Fern, Zelda;echoraeume fs2
2022-06-20;KNH-Darkroom10 // 9pm;echoraeume fs2
2022-06-20;monday improvisers session;celeste
2022-06-21;xx y x - billy roisz & karolina preuschl;echoraum
2022-06-21;KNH-Stories 6;echoraeume fs2
2022-06-23;free music forum: Joe Mc Phee & John Edwards;celeste
2022-06-25;Hörraum #5;echoraum
2022-06-27;monday improvisers session;celeste
2022-06-28;20h studio session #4;westbahnstudios
2022-07-04;monday improvisers session;celeste
2022-07-11;monday improvisers session;celeste
2022-07-18;monday improvisers session;celeste
2022-09-05;monday improvisers session;celeste
2022-09-08;free music forum: Charles & Gauguet & Mala...;celeste
2022-09-09;Klangmanifeste @ echoraum;echoraum
2022-09-10;Klangmanifeste @ echoraum CLONE;echoraum
2022-09-12;monday improvisers session;celeste
2022-09-14;Vitalʹnya Vienna;flucc
2022-09-15;Les Marquises · Stefan Fraunberger;echoraum
2022-09-16;13h ZONK!?!! by Studio Dan - Bauckholt;allerheiligenpark
2022-09-18;11h ZONK!?!! by Studio Dan - Fuss/Eastman/...;allerheiligenpark
2022-09-19;monday improvisers session;celeste
2022-09-21;19h30! DerBloedeDritteMittwoch#120;ateliertheater
2022-09-22;free music forum: Die Hochstapler;celeste
2022-09-22;shut up and listen! 2022: AMONG OTHERS (Ta...;echoraum
2022-09-23;shut up and listen! 2022: AMONG OTHERS (Ta...;echoraum
2022-09-24;shut up and listen! 2022: AMONG OTHERS (Ta...;echoraum
2022-09-25;the elks @ neue musik st.ruprecht;st. ruprecht (neue musik in)
2022-09-25;KNH-Sonntagskind #27: Storm Lily;echoraeume fs2
2022-09-26;monday improvisers session;celeste
2022-09-27;Zimt (extended);reaktor
2022-09-27;Vernissage: HALL (Benjamin Tomasi & Samuel...;echoraum
2022-09-28;Disquiet;echoraum
2022-09-30;Guitar concert by Šimanský und Niesner (...;vekks
2022-10-01;on the couch #71 - Trio EIS;studio eberhard
2022-10-01;red rooms / crowd founding;echoraeume
2022-10-03;monday improvisers session;celeste
2022-10-04;19-21h urbanize!;echoraeume
2022-10-06;free music forum: Hautzinger & Duthoit & S...;celeste
2022-10-06;Finissage: HALL (Benjamin Tomasi & Samuel ...;echoraum
2022-10-06;19-21h urbanize!;echoraeume
2022-10-07;on the couch #72 - Ackermann/Meier;studio eberhard
2022-10-07;19-21h urbanize!;echoraeume
2022-10-07;KNH-Shorts #10: Olga Kosanović;echoraeume fs2
2022-10-08;Luna Alcalay: Gedenkkonzert & Ausstellung;echoraum
2022-10-08;10-18h urbanize!;echoraeume
2022-10-08;Eric Arn / Eyal Maoz(US) album release w/ ...;celeste
2022-10-10;monday improvisers session;celeste
2022-10-11;Nachhall #3;echoraum
2022-10-12;Bertoncini/Rombolà · Hvizdalek/Lercher;echoraum
2022-10-17;monday improvisers session;celeste
2022-10-19;re_composed 2022 (Tag 1);echoraum
2022-10-19;19h30! DerBloedeDritteMittwoch#121;ateliertheater
2022-10-20;re_composed 2022 (Tag 2);echoraum
2022-10-21;re_composed 2022 (Tag 3);echoraum
2022-10-21;on the couch #73 - Hui Ye/ Alexander J. Eb...;studio eberhard
2022-10-21;moozak multichannel series #02 / elak conc...;klangtheater
2022-10-22;re_composed 2022 (Tag 4);echoraum
2022-10-22;smallforms;chateau rouge
2022-10-23;KNH-Sonntagskind #28;echoraeume fs2
