Programm	Jahr	Betrag_EUR
25 Jahre Jubiläumskonzert	2023	10000.0
ACOUSMONIUM	2023	4500.0
Akusmonautik	2022	15000.0
Akusmonautik	2024	8000.0
Alienation	2022	4000.0
All the Molds Crack	2022	3000.0
Arnold Schönberg 150	2023	250000.0
Beatnik Manifesto	2023	5000.0
Black Page Orchestra Konzerte	2022	15000.0
Black Page Orchestra Konzerte	2023	20000.0
Black Page Orchestra Konzerte	2024	22000.0
CLUB RADIOKOJE	2022	5000.0
CLUB RADIOKOJE	2023	10000.0
Celeste Programm	2024	12000.0
DE/SEMBLE Festival	2023	40000.0
DE/SEMBLE Festival	2024	15000.0
DISHES RRR	2022	20000.0
Der Blöde Dritte Mittwoch	2022	42400.0
Der Blöde Dritte Mittwoch	2023	33000.0
Der Blöde Dritte Mittwoch	2024	38650.0
Dishes	2023	22000.0
Dishes	2024	15000.0
EARDRUMS	2022	40000.0
EARDRUMS	2024	8000.0
EMM an der Hohen Wand	2022	22000.0
EMM an der Hohen Wand	2024	3500.0
EUROPAVOX	2022	2000.0
EXPLORATIONS Part II	2022	14000.0
Equation Echo & the Transformative	2024	5000.0
Erdbeerfrosch Soireés	2024	5000.0
FLUCC Konzerttätigkeiten	2022	16000.0
Festival MUSIK NACH DER NATUR	2024	6000.0
Festival SUAL	2024	8000.0
Festival for Jazz and Adventurous Music	2024	3000.0
HYPERREALITY	2022	83000.0
HYPERREALITY	2024	10000.0
House. Music. Europe	2022	13630.0
House. Music. Europe	2023	13630.0
IMPROPER SESSIONS	2022	3000.0
Jahresendzeitschokoladenhohlkörper	2024	16000.0
KEINPONNY	2024	4000.0
Kanal #41.2	2022	5000.0
Kanal 41.3	2024	4000.0
Klangmanifeste	2023	6000.0
Klangmanifeste	2024	5000.0
Klub Montage	2022	2500.0
Klub Montage	2023	5000.0
Konzertreihe Wiener Hausmusik	2023	8000.0
Little Donau	2024	2500.0
Little Donau III	2024	2000.0
Made Up Realities	2024	5000.0
Monday Improvisers Session	2024	13000.0
Moozak Multichannel Series	2022	8000.0
NAWA Festival	2022	19000.0
NAWA Festival	2024	10000.0
Neue Musik in St. Ruprecht	2022	6500.0
Neue Musik in St. Ruprecht	2023	18500.0
Neue Musik in St. Ruprecht	2024	8000.0
NoMaden des Seins in Wien	2024	3000.0
PARKEN	2022	10000.0
PARKEN	2023	10000.0
PARKEN	2024	10000.0
Palimpsests	2023	3500.0
Reverberate	2023	16500.0
Reverberate	2024	2500.0
SOUNDSPACE	2024	8000.0
SUENA Festival	2024	10000.0
Salam Music & Arts Festival	2023	28000.0
Salam Music & Arts Festival	2024	28000.0
Salam Orient	2022	22000.0
Salam Orient	2023	32000.0
Salon skug	2022	8000.0
Salon skug	2023	8000.0
Salon skug	2024	8000.0
Sandkasten Syndikat	2024	8000.0
Sonic Territories Festival	2022	49000.0
Sonic Territories Festival	2023	22000.0
Sonic Territories Festival	2024	22000.0
Struma+Iodine	2024	30000.0
Synesthetic Wednesday	2022	8000.0
Synesthetic Wednesday	2023	4000.0
Synesthetic Wednesday	2024	5000.0
Synesthetic Wednesday	2025	5000.0
Synesthetic Wednesday	2026	3000.0
Synth Lab	2023	10000.0
TENDER MATTER Konzertreihe	2023	6000.0
The Dirt of Easter Island	2023	10000.0
This is our Dancefloor	2022	13400.0
This is our Dancefloor	2024	5000.0
Unsafe+Sounds	2024	60000.0
VELAK Gala	2022	4500.0
VELAK Gala	2023	5000.0
VELAK Gala	2024	13000.0
Vienna Improvisers Orchestra	2022	20000.0
Vol. 3 Finding a new voice	2024	3000.0
We The People	2022	20000.0
Welcome to the rhizosphere	2022	16000.0
Young Lion*ess of Acousmatic Music	2023	5000.0
punctum collective Saison	2023	8000.0
sama recordings	2022	5000.0
sama recordings	2023	9000.0
sama recordings	2024	4000.0
snImpro + snim feat. Dilate Ensemble	2023	4000.0
ton-netz-werk	2024	6000.0
