Verein,n_jahre,2022,2023,2024,kontinuierlich_2224
"""Sounds Queer?"" Feministischer, queerer Verein zur Förderung elektronischer\nMusik",1,False,True,False,False
"""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel:\nVenti",4,True,True,True,True
"""Vienna.ACTS"", Verein zur Förderung von Kunst",5,True,True,True,True
A M B I T U S – Gruppe für neue Musik,2,True,False,True,False
AMBITUS - Gruppe für neue Musik,1,False,False,True,False
AUGEND&ADDEND - Verein zur Förderung und Erweiterung transformativer\nKlangräume und queerer Clubkultur,3,True,True,True,True
Alexander Eberhard,2,True,True,False,False
"Althangrund - Verein für Kultur-, Wohn- und Sozialraum für Alle, Kurzform:\nAlthangrund für alle!",2,False,True,True,False
Antunes de Menezes Melissa,1,False,True,False,False
"Bestand - Verein zur Vermittlung und Förderung von Musik, Kunst und Kultur",3,False,False,True,False
Between Feathers,5,True,True,True,True
Central Garden,4,True,False,True,False
ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research,1,False,False,True,False
Engelsharfen+Teufelsgeigen - Verein zur Förderung innovativer musikalischer und performativer Formate,1,False,False,True,False
"ExMachinisMusicae: Verein zur Förderung von transdisziplinärer, transkultureller\nund transmedialer Kunst",1,False,False,True,False
FAM Kulturverein,3,True,False,False,False
"Floating Sound Gallery Vienna, Verein zur Förderung von Kunst und Kultur",3,True,True,True,True
Hjalmar Al-Serori,2,False,True,True,False
IMPROPER WALLS – Kulturverein zur Förderung von Kunst und soziokulturellen Initiativen,1,True,False,False,False
Jazz & Musicclub Porgy & Bess,5,True,True,True,True
JazzWerkstatt Wien,1,False,False,True,False
Joanna Coleman (KEINPONNY),1,False,False,True,False
Jorge Eduardo Gomez,1,True,False,False,False
Klang.Kunst.Etage - Verein für experimentelle Musik und Kunstprojekte,3,True,True,True,True
Klangforum Wien,1,False,False,True,False
Klangmanifeste - Verein für Klang-/Kunst-/Formen,3,True,False,True,False
Kulturverein Free Music Forum mit dem Zusatz Forum für free Jazz & freie Improvisation,3,True,True,True,True
Kulturverein WERK,2,True,True,False,False
Kunst- und Kulturverein Akusmonautikum,1,False,False,True,False
Kunst- und Kulturverein Semmelweisklinik,3,False,False,True,False
Kunstverein KLANGWERK,1,False,False,True,False
Kunstverein das weisse haus,1,False,False,True,False
Little Rosies Improvisationsgruppe – Verein für musikalische Improvisation und Zeitgeist,1,True,False,False,False
MOOZAK - VEREIN FÜR EXPERIMENTELLE MUSIK,4,True,True,False,False
