Bezirk	Jahr	Events_Dataset	Events_Klingt	EUR_MA7
1	2022	22.0	21.0	
1	2023	14.0	8.0	
1	2024	44.0	18.0	
1	2025	8.0	19.0	
1	2026		6.0	
2	2022	9.0	6.0	22000.0
2	2023	9.0	4.0	186000.0
2	2024	19.0	2.0	22000.0
2	2025	10.0	24.0	183000.0
2	2026		2.0	235000.0
3	2022	4.0	20.0	1000000.0
3	2023	3.0	18.0	317000.0
3	2024	5.0	19.0	30000.0
3	2025	2.0	16.0	1428000.0
3	2026	1.0	5.0	919000.0
4	2022		3.0	150000.0
4	2023			181000.0
4	2024			13000.0
4	2025			541000.0
4	2026			112000.0
5	2022	13.0		24300.0
5	2023	1.0		66000.0
5	2024	2.0		64500.0
5	2025	1.0		46000.0
5	2026	1.0		57000.0
6	2022	3.0	47.0	
6	2023	1.0	58.0	8000.0
6	2024	4.0	62.0	10000.0
6	2025		65.0	
6	2026		24.0	
7	2022	9.0	18.0	34000.0
7	2023		8.0	45000.0
7	2024	10.0	7.0	28000.0
7	2025	4.0	10.0	116000.0
7	2026		7.0	40000.0
8	2022	10.0	5.0	
8	2023	11.0	16.0	25000.0
8	2024	15.0	12.0	5000.0
8	2025	7.0	9.0	102900.0
8	2026		3.0	122000.0
9	2022	6.0	7.0	26000.0
9	2023	8.0	5.0	46000.0
9	2024	11.0	12.0	35000.0
9	2025	4.0	15.0	37000.0
9	2026		1.0	264500.0
10	2022	1.0		
10	2023			7000.0
10	2024			32000.0
10	2025			52000.0
11	2022	1.0		
11	2024	1.0		
11	2025	1.0	1.0	
12	2022	1.0	3.0	
12	2023	2.0	3.0	
12	2024	4.0	14.0	
12	2025	2.0	10.0	
12	2026	3.0	9.0	
14	2022	1.0	1.0	
14	2023			20000.0
14	2024	2.0	2.0	9500.0
14	2025	1.0	1.0	84000.0
14	2026		2.0	65000.0
15	2022	12.0	50.0	90000.0
15	2023	1.0	56.0	204000.0
15	2024	4.0	46.0	234000.0
15	2025	1.0	46.0	504000.0
15	2026	1.0	40.0	416500.0
16	2022	3.0		15000.0
16	2023	6.0		29000.0
16	2024	5.0		15000.0
16	2025			25000.0
16	2026			50000.0
17	2022	12.0	39.0	39500.0
17	2023	11.0	17.0	55000.0
17	2024	5.0	21.0	12000.0
17	2025	4.0	10.0	
17	2026		12.0	
18	2022			86500.0
18	2023		1.0	133000.0
18	2024	2.0	4.0	78000.0
18	2025		11.0	144900.0
18	2026		5.0	97500.0
19	2022			23000.0
19	2023	3.0		16000.0
19	2024	2.0		39000.0
19	2025	2.0		23000.0
19	2026			11000.0
20	2022		2.0	56000.0
20	2023		1.0	70000.0
20	2024	1.0		35000.0
20	2025			211217.0
20	2026			87000.0
22	2022	1.0		
22	2023	2.0		
22	2024	2.0		
23	2024			8000.0
