Verein	Jahr	Betrag_EUR	tiene_beschluss	Anmerkungen
Floating Sound Gallery Vienna, Verein zur Förderung von Kunst und Kultur	2025	9000	True	Empfehlung. keine Förderzusage. Vereinstätigkeiten 2024
The Acousmatic Project - Verein zur Förderung Akusmatischer Musik	2025	15000	True	Empfehlung. keine Förderzusage. Made Up Realities
MOOZAK - VEREIN FÜR EXPERIMENTELLE MUSIK	2025	5000	True	Empfehlung. keine Förderzusage. HYPERREALITY Festival
Verein für experimentelle improvisierte Musik (VEIM)	2025	15000	True	Empfehlung. keine Förderzusage. Ton-netz-werk
Verein für elektroakustische Musik	Empfehlung	2025	True	Förderempfehlung Musikbeirat MA7 (Einreichtermin Oktober 2024)
On the Couch - zur Förderung von Kunst und Kultur in der Gesellschaft	2025	7000	True	Empfehlung. Studiokonzerte 2025
PARKEN, Verein zur Förderung experimenteller Musik im öffentlichem Raum	2025	12000	True	Empfehlung
ExMachinisMusicae: Verein zur Förderung von transdisziplinärer, transkultureller\nund transmedialer Kunst	2025	1500	True	Empfehlung. Projekt: Delphi
"""Vienna.ACTS"", Verein zur Förderung von Kunst"	2025	10000	True	Empfehlung. Projekt: DE/SEMBLE - Festival for Jazz and Adventurous Music
AUGEND&ADDEND - Verein zur Förderung und Erweiterung transformativer\nKlangräume und queerer Clubkultur	2025	7000	True	Empfehlung. Projekt: Assembled Affinity 2
liccht - kulturverein für nischenmusik und populärkultur	2025	13000	True	Empfehlung. keine Förderzusage
Verein für Kunstvermischung	2025	26000	True	Empfehlung. Der blöde dritte Mittwoch 2025
SUENA - Verein zur Förderung und Verbreitung neuer Musik	2025	10000	True	Empfehlung. keine Förderzusage
small forms - Verein zur Förderung und Verbreitung von zeitgenössischen Musikformen	2025	15000	True	Empfehlung. keine Förderzusage. Festival MUSIK NACH DER NATUR
Kulturverein Free Music Forum mit dem Zusatz Forum für free Jazz & freie Improvisation	2025	20000	True	Empfehlung. keine Förderzusage. Veranstaltungsreihe liccht
Peer to Peer - Verein zur Förderung und Verbreitung experimenteller Musik, interdisziplinärer Kunstformate und Diskurs	2025	55000	False	Empfehlung. keine Förderzusage. Projekt: UNSAFE SOUNDS Festival. Mehrjahresförderung 2024-2025
RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE	2025	30000	True	Empfehlung. keine Förderzusage. Umbenennung von STRUMA+IODINE per Januar 2024. Mehrjahresförderung 2024-2025
AUGEND&ADDEND - Verein zur Förderung und Erweiterung transformativer\nKlangräume und queerer Clubkultur	2025	9500	True	Empfehlung. Projekt: Assembled Affinity
RESONANCES+TRANSITIONS - VEREIN ZUR FÖRDERUNG UND VERBREITUNG INNOVATIVER KLÄNGE	2026	27500	True	Empfehlung. keine Förderzusage. Mehrjahresförderung 2024-2025
The Acousmatic Project - Verein zur Förderung Akusmatischer Musik	2026	10000	True	Empfehlung.  keine Förderzusage. Kanal 41.3
Floating Sound Gallery Vienna, Verein zur Förderung von Kunst und Kultur	2026	8000	True	Empfehlung. keine Förderzusage. Klangmanifeste
Verein für elektroakustische Musik;  Kurztitel VELAK	2026	5000	False	Empfehlung. keine Förderzusage. Bezirksbudget 5. Konzertreihe
Verein für experimentelle improvisierte Musik (VEIM)	2026	15000	True	Empfehlung. keine Förderzusage. Unsafe+Sounds Festival
MOOZAK - VEREIN FÜR EXPERIMENTELLE MUSIK	2026	5000	True	Empfehlung. keine Förderzusage. Gesamtförderung
small forms - Verein zur Förderung und Verbreitung von zeitgenössischen Musikformen	2026	15000	True	Empfehlung. keine Förderzusage. PARKEN
Kulturverein Free Music Forum mit dem Zusatz Forum für free Jazz & freie Improvisation	2026	15000	True	Empfehlung. keine Förderzusage. Jahresprogramm
Peer to Peer - Verein zur Förderung und Verbreitung experimenteller Musik, interdisziplinärer Kunstformate und Diskurs	2026	50000	False	Empfehlung. keine Förderzusage. Projekt: UNSAFE SOUNDS Festival. Mehrjahresförderung 2024-2025
SUENA - Verein zur Förderung und Verbreitung neuer Musik	2026	10000	True	Empfehlung. keine Förderzusage
liccht - kulturverein für nischenmusik und populärkultur	2026	12000	True	Empfehlung. keine Förderzusage
Verein für Kunstvermischung	2026	25000	True	Empfehlung. Der Blöde Dritte Mittwoch
XOK - Interessensgemeinschaft der experimentellen Musik- und Klangkunstszene\nWiens	2026	12000	True	Empfehlung. Jahresfrühzeitschokoladenhohlkörper
PARKEN, Verein zur Förderung experimenteller Musik im öffentlichem Raum	2026	6000	True	Empfehlung
On the Couch - zur Förderung von Kunst und Kultur in der Gesellschaft	2026	7000	True	Empfehlung. Studiokonzerte 2026
Alexander Eberhard	2025	3500	True	Projekt: Radiophonic memories
SHIZZLE - Kunst- und Kulturverein	2025	20000	True	ausbezahlt: SHIZZLE JAHRESPROGRAMM / FESTIVAL HER NOISE x SOLAR PLACE x SUNSHINE HILLS. Einzelförderung/Gesamtförderung. Stand 06.11.2025
