Programm,Förderung_EUR_gesamt,Anzahl_Beschluesse
HYPERREALITY,75000.0,1
Der Blöde Dritte Mittwoch,65000.0,3
Unsafe+Sounds,60000.0,1
Black Page Orchestra Konzerte,57000.0,3
Salam Orient,54000.0,2
Dishes,37000.0,3
PARKEN,30000.0,3
Sonic Territories Festival,30000.0,1
Struma+Iodine,30000.0,1
EMM an der Hohen Wand,25500.0,2
Synesthetic Wednesday,25000.0,5
Salon skug,24000.0,3
VELAK Gala,22500.0,4
Neue Musik in St. Ruprecht,21000.0,3
DISHES RRR,20000.0,1
Vienna Improvisers Orchestra,20000.0,1
We The People,20000.0,1
Welcome to the rhizosphere,16000.0,1
FLUCC Konzerttätigkeiten,16000.0,1
Jahresendzeitschokoladenhohlkörper,16000.0,1
CLUB RADIOKOJE,15000.0,2
DE/SEMBLE Festival,15000.0,1
EXPLORATIONS Part II,14000.0,1
sama recordings,13000.0,3
Monday Improvisers Session,13000.0,1
Celeste Programm,12000.0,1
The Dirt of Easter Island,10000.0,2
SUENA Festival,10000.0,1
Synth Lab,10000.0,1
25 Jahre Jubiläumskonzert,10000.0,1
Festival SUAL,8000.0,1
Sandkasten Syndikat,8000.0,1
Moozak Multichannel Series,8000.0,1
Akusmonautik,8000.0,1
Konzertreihe Wiener Hausmusik,8000.0,1
punctum collective Saison,8000.0,1
EARDRUMS,8000.0,1
SOUNDSPACE,8000.0,1
Klub Montage,7500.0,2
TENDER MATTER Konzertreihe,6000.0,1
Festival MUSIK NACH DER NATUR,6000.0,1
ton-netz-werk,6000.0,1
Kanal #41.2,5000.0,1
Erdbeerfrosch Soireés,5000.0,1
Young Lion*ess of Acousmatic Music,5000.0,1
Beatnik Manifesto,5000.0,1
Equation Echo & the Transformative,5000.0,1
This is our Dancefloor,5000.0,1
Made Up Realities,5000.0,1
Klangmanifeste,5000.0,1
ACOUSMONIUM,4500.0,1
Kanal 41.3,4000.0,1
Alienation,4000.0,1
KEINPONNY,4000.0,2
snImpro + snim feat. Dilate Ensemble,4000.0,1
Palimpsests,3500.0,1
IMPROPER SESSIONS,3000.0,1
Vol. 3 Finding a new voice,3000.0,1
All the Molds Crack,3000.0,1
NoMaden des Seins in Wien,3000.0,1
NAWA Festival,3000.0,1
Reverberate,2500.0,1
