Verein	Jahr	Betrag_EUR	Projekttitel	Status	Quelle
Kunstverein KLANGWERK	2022	26800	NoMaden-Serie (mehrere Bezirke)	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Kunstverein KLANGWERK	2023	19200	NoMaden-Serie (mehrere Bezirke)	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
Kunstverein KLANGWERK	2024	24800	NoMaden-Serie (mehrere Bezirke)	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
WUK	2022	900	Abenteuer im Koffer	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
WUK	2023	1800	Common Ground Severingasse	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
WUK	2024	3000	Kulturvermittlung WUK KinderKultur	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Althangrund	2022	2800		Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Althangrund	2023	1600		Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
Althangrund	2024	1500		Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Central Garden	2022	1000	Kanal #41.2	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Central Garden	2023	1500	Little Donau III	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
ECHOLOT	2022	3000	Jahresprogramm 2022	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
ECHOLOT	2023	6400	Mondmeer & Marguerite + Jahresprogramm	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
ExMachinisMusicae	2024	1000	EMM an der Hohen Wand	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
FREIFALL	2022	2000	PLANTED FUTURES + FUTURE BODY	Bestätigt (zeilenweise gegen KKW-Quelle verifiziert, 6. Juli)	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
FREIFALL	2024	1000	Contemporary Circus Visions#B	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Free Music Forum	2022	1500		Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Free Music Forum	2023	1500	Konzertreihe 2023	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
Free Music Forum	2024	1800	Konzertreihe 2024	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
IMPROPER WALLS	2023	4000	Jahresprogramm 2023	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
IMPROPER WALLS	2024	3000	Jahresprogramm 2024	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
JazzWerkstatt Wien	2024	500	ALL THE THINGS YOU ARE	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Klangmanifeste	2022	1000		Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Klangmanifeste	2024	1000		Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Kulturverein WERK	2022	5000	KulturTerrasse WERK	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Kunst- und Kulturverein Semmelweisklinik	2022	10000	Kunst- und Kulturzentrum Semmelweisklinik	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Kunst- und Kulturverein Semmelweisklinik	2023	600	Freitags in der Klinik	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
Kunst- und Kulturverein Semmelweisklinik	2024	10000	Kunst- und Kulturzentrum Semmelweisklinik	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
minciospace	2023	2000	Ausstellung re:construct society	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
minciospace	2024	7500	community echoes (3 Projekte)	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
On the Couch	2023	2000	Studiokonzerte 2023	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
On the Couch	2024	2500	Studiokonzerte 2024	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Rantasa	2023	2000	Islands of Resilience / URBION Gürtel 2050	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
SHIZZLE	2022	8000	FORUM KULTURNETZ HERNALS	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
SHIZZLE	2023	8000	FORUM KULTURNETZ HERNALS	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
SHIZZLE	2024	8000	FORUM KULTURNETZ HERNALS	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Sandkasten Syndikat	2023	500	AUF WIEDER SEHEN	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
Sandkasten Syndikat	2024	1300	PIRATE CULTURES	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
TONSPUR	2022	2000	STREAMERS - a COVID Sculpture LIVE	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Unsafe+Sounds	2023	3500	Unsafe+Sounds Festival 2023	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
Verein für Kunstvermischung	2022	2000	Der blöde dritte Mittwoch im Ateliertheater	Bestätigt (Abgleich mit bestehendem Programm)	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Verein zur Förderung von Subkultur	2023	1000	Salon skug auf Rädern	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
Verein zur Förderung von Subkultur	2024	1500	Salon skug auf Rädern	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
