Verein	ZVR-Zahl	Bezirk	Foerderung_ref	Typ	Jahr	Betrag_EUR	Quelle	Anmerkungen	Programm	Kurzname	Verein_key
UNSAFE SOUNDS - Verein zur Verteidigung künstlerischer Grauzonen	1670187874	18	MA7	Beschluss	2022	50000.0	Förderbericht der Stadt Wien 2022	ausbezahlt: Mehrjahresförderung 2024-2025		Unsafe+Sounds	unsafe sounds - verein zur verteidigung künstlerischer grauzonen
STRUMA+IODINE - Verein zur Erweiterung musikalischer Erfahrungsräume	1954454117	9	MA7	Beschluss	2022	26000.0	Förderbericht der Stadt Wien 2022	ausbezahlt: Jahrestätigkeit genehmigt 9.1.2026		Struma+Iodine	struma+iodine - verein zur erweiterung musikalischer erfahrungsräume
echoraum Vereinigung zur Förderung der Kulturkommunikation	884318065	15	MA7	Beschluss	2022	90000.0	Förderbericht der Stadt Wien 2022	ausbezahlt: Gesamtförderung. Jahrestätigkeit		echoraum	echoraum vereinigung zur förderung der kulturkommunikation
Studio Dan - Verein für Neue Musik	408034688	20	MA7	Beschluss	2022	50000.0	Förderbericht der Stadt Wien 2022	ausbezahlt: Gesamtförderung. Salon skug		Studio Dan	studio dan - verein für neue musik
The Acousmatic Project - Verein zur Förderung Akusmatischer Musik	874404447	2	MA7	Beschluss	2022	22000.0	Förderbericht der Stadt Wien 2022	ausbezahlt: EMM an der Hohen Wand	EMM an der Hohen Wand		the acousmatic project - verein zur förderung akusmatischer musik
id/l Agentur für Kunst und Kultur	214732532	18	MA7	Beschluss	2022	30000.0	Förderbericht der Stadt Wien 2022	ausbezahlt: Projekt: Sonic Territories. SOUNDSPACE	Sonic Territories Festival	id/l	id/l agentur für kunst und kultur
Floating Sound Gallery Vienna, Verein zur Förderung von Kunst und Kultur	1534373870	18	MA7	Beschluss	2022	3000.0	Förderbericht der Stadt Wien 2022	ausbezahlt: Projekt: Circuit Fantôme. Vereinsaktivitäten 2024		Floating Sound Gallery Vienna	floating sound gallery vienna, verein zur förderung von kunst und kultur
Setzkasten, Verein und Werkstatt zur Förderung intermedialer Kunst	314108954	17	MA7	Beschluss	2022	17000.0	Förderbericht der Stadt Wien 2022	ausbezahlt: Gesamtförderung. Tätigkeiten 2024		Setzkasten Wien	setzkasten, verein und werkstatt zur förderung intermedialer kunst
small forms - Verein zur Förderung und Verbreitung von zeitgenössischen Musikformen	503262449	16	MA7	Beschluss	2022	15000.0	Förderbericht der Stadt Wien 2022	ausbezahlt: Gesamtförderung 2024		Smallforms	small forms - verein zur förderung und verbreitung von zeitgenössischen musikformen
Kulturverein Free Music Forum mit dem Zusatz Forum für free Jazz & freie Improvisation	1121875739	5	MA7	Beschluss	2022	15000.0	Förderbericht der Stadt Wien 2022	ausbezahlt: 1. Jahreshälfte. Vereinsaktivitäten 2024		Free Music Forum	kulturverein free music forum mit dem zusatz forum für free jazz & freie improvisation
TONSPUR Kunstverein Wien	824358800	7	MA7	Beschluss	2022	12000.0	Förderbericht der Stadt Wien 2022	ausbezahlt: Gesamtförderung. Projektreihe 2024		TONSPUR	tonspur kunstverein wien
Verein für experimentelle improvisierte Musik (VEIM)	[nicht dokumentiert]	4	MA7	Beschluss	2022	10000.0	Förderbericht der Stadt Wien 2022	ausbezahlt: Monday Improvisers Session. Gesamtförderung 2024		Porgy & Bess	verein für experimentelle improvisierte musik (veim)
MOOZAK - VEREIN FÜR EXPERIMENTELLE MUSIK	817982407	19	MA7	Beschluss	2022	23000.0	Förderbericht der Stadt Wien 2022	ausbezahlt: Jahresendzeitschokoladenhohlkörper 15.000 + Multichannel Series 8.000. Konzertzyklus 2024		Moozak	moozak - verein für experimentelle musik
Verein für elektroakustische Musik	229137709	5	MA7	Beschluss	2022	4500.0	Förderbericht der Stadt Wien 2022	ausbezahlt: VELAK Gala. Struma+Iodine			verein für elektroakustische musik
SUENA - Verein zur Förderung und Verbreitung neuer Musik	1920809871	20	MA7	Beschluss	2022	6000.0	Förderbericht der Stadt Wien 2022	ausbezahlt		SUENA	suena - verein zur förderung und verbreitung neuer musik
Jazz & Musicclub Porgy & Bess	79072322	4	MA7	Beschluss	2022	140000.0	Förderbericht der Stadt Wien 2022	ausbezahlt: Gesamtförderung		Porgy & Bess	jazz & musicclub porgy & bess
Verein für Kunstvermischung	448124582	17	MA7	Beschluss	2022	20000.0	Förderbericht der Stadt Wien 2022	ausbezahlt: Der Blöde Dritte Mittwoch 2022	Der Blöde Dritte Mittwoch		verein für kunstvermischung
Wien Modern, Verein für neue Musik	678661440	3	MA7	Beschluss	2022	1000000.0	Förderbericht der Stadt Wien 2022	ausbezahlt: Mehrjährige Gesamtförderung 2021-2023 (2022)		Wien Modern	wien modern, verein für neue musik
AUGEND&ADDEND - Verein zur Förderung und Erweiterung transformativer\nKlangräume und queerer Clubkultur	1799027468	18	MA7	Beschluss	2022	3500.0	Förderbericht der Stadt Wien 2022	ausbezahlt: Club-Eventreihe. Antragsteller: Waldhör Simon Herbert		Augend&Addend	augend&addend - verein zur förderung und erweiterung transformativer\nklangräume und queerer clubkultur
